泉州频道,#genre#
天津卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225941/index.m3u8
安徽卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225844/index.m3u8
安徽卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226942/index.m3u8
安徽卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225945/index.m3u8
山东卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225843/index.m3u8
山东卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226928/index.m3u8
山东卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225943/index.m3u8
广东卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225824/index.m3u8
广东卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226946/index.m3u8
广东卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225942/index.m3u8
江苏卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225847/index.m3u8
江苏卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226869/index.m3u8
江苏卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225930/index.m3u8
江西卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221227022/index.m3u8
江西卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225834/index.m3u8
江西卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225868/index.m3u8
浙江卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225825/index.m3u8
浙江卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225934/index.m3u8
深圳卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225848/index.m3u8
深圳卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225938/index.m3u8
湖北卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225840/index.m3u8
湖北卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226863/index.m3u8
湖北卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225948/index.m3u8
湖南卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225827/index.m3u8
湖南卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226924/index.m3u8
湖南卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225935/index.m3u8
贵州卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226827/index.m3u8
辽宁卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225832/index.m3u8
辽宁卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225947/index.m3u8
辽宁卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226881/index.m3u8
重庆卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225831/index.m3u8
重庆卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225949/index.m3u8
黑龙江卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225862/index.m3u8
黑龙江卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225940/index.m3u8
四川卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221227006/index.m3u8
厦门卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221226781/index.m3u8
厦门1,http://39.135.225.5:18890/PLTV/88888888/224/3221226814/index.m3u8
厦门2,http://39.135.225.5:18890/PLTV/88888888/224/3221226777/index.m3u8
厦门3,http://39.135.225.5:18890/PLTV/88888888/224/3221226760/index.m3u8
厦门4,http://39.135.225.5:18890/PLTV/88888888/224/3221226764/index.m3u8
宁德2,http://39.135.225.5:18890/PLTV/88888888/224/3221226635/index.m3u8
纯享4K,http://39.135.225.5:18890/PLTV/88888888/224/3221226825/index.m3u8
中国教育1,http://39.135.225.5:18890/PLTV/88888888/224/3221226954/index.m3u8
黑莓动画,http://39.135.225.5:18890/PLTV/88888888/224/3221225878/index.m3u8
黑莓电影,http://39.135.225.5:18890/PLTV/88888888/224/3221225891/index.m3u8
黑莓电竞,http://39.135.225.5:18890/PLTV/88888888/224/3221225894/index.m3u8
黑莓电竞,http://39.135.225.5:18890/PLTV/88888888/224/3221226676/index.m3u8
黑莓电竞,http://39.135.225.5:18890/PLTV/88888888/224/3221226680/index.m3u8
NewTV中国功夫,http://39.135.225.5:18890/PLTV/88888888/224/3221225896/index.m3u8
NewTV健康有约,http://39.135.225.5:18890/PLTV/88888888/224/3221225883/index.m3u8
NewTV军事评论,http://39.135.225.5:18890/PLTV/88888888/224/3221225890/index.m3u8
NewTV军旅剧场,http://39.135.225.5:18890/PLTV/88888888/224/3221225887/index.m3u8
NewTV动作电影,http://39.135.225.5:18890/PLTV/88888888/224/3221225879/index.m3u8
NewTV古装剧场,http://39.135.225.5:18890/PLTV/88888888/224/3221225880/index.m3u8
NewTV家庭剧场,http://39.135.225.5:18890/PLTV/88888888/224/3221225882/index.m3u8
NewTV惊悚悬疑,http://39.135.225.5:18890/PLTV/88888888/224/3221225885/index.m3u8
NewTV搏击,http://39.135.225.5:18890/PLTV/88888888/224/3221225895/index.m3u8
NewTV潮妈辣婆,http://39.135.225.5:18890/PLTV/88888888/224/3221226107/index.m3u8
NewTV炫舞未来,http://39.135.225.5:18890/PLTV/88888888/224/3221226699/index.m3u8
NewTV爱情喜剧,http://39.135.225.5:18890/PLTV/88888888/224/3221225877/index.m3u8
NewTV精品体育,http://39.135.225.5:18890/PLTV/88888888/224/3221225886/index.m3u8
NewTV精品大剧,http://39.135.225.5:18890/PLTV/88888888/224/3221225889/index.m3u8
NewTV精品纪录,http://39.135.225.5:18890/PLTV/88888888/224/3221225888/index.m3u8
NewTV超级体育,http://39.135.225.5:18890/PLTV/88888888/224/3221225803/index.m3u8
NewTV超级体育,http://39.135.225.5:18890/PLTV/88888888/224/3221225925/index.m3u8
NewTV超级电影,http://39.135.225.5:18890/PLTV/88888888/224/3221225804/index.m3u8
NewTV超级电影,http://39.135.225.5:18890/PLTV/88888888/224/3221225926/index.m3u8
NewTV超级电视剧,http://39.135.225.5:18890/PLTV/88888888/224/3221225806/index.m3u8
NewTV超级电视剧,http://39.135.225.5:18890/PLTV/88888888/224/3221225928/index.m3u8
NewTV超级综艺,http://39.135.225.5:18890/PLTV/88888888/224/3221225801/index.m3u8
NewTV超级综艺,http://39.135.225.5:18890/PLTV/88888888/224/3221225924/index.m3u8
NewTV金牌综艺,http://39.135.225.5:18890/PLTV/88888888/224/3221225884/index.m3u8
NewTV海外剧场,http://39.135.225.5:18890/PLTV/88888888/224/3221225881/index.m3u8
NewTV明星大片,http://39.135.225.5:18890/PLTV/88888888/224/3221225893/index.m3u8
SiTV动漫秀场,http://39.135.225.5:18890/PLTV/88888888/224/3221226141/index.m3u8
SiTV极速汽车,http://39.135.225.5:18890/PLTV/88888888/224/3221226140/index.m3u8
SiTV欢笑剧场,http://39.135.225.5:18890/PLTV/88888888/224/3221226729/index.m3u8
SiTV欢笑剧场,http://39.135.225.5:18890/PLTV/88888888/224/3221226729/index.m3u8
SiTV游戏风云,http://39.135.225.5:18890/PLTV/88888888/224/3221226912/index.m3u8
上海五星体育,http://39.135.225.5:18890/PLTV/88888888/224/3221226603/index.m3u8
上海纪实人文,http://39.135.225.5:18890/PLTV/88888888/224/3221226958/index.m3u8
上海纪实人文,http://39.135.225.5:18890/PLTV/88888888/224/3221225946/index.m3u8
湖南金鹰纪实,http://39.135.225.5:18890/PLTV/88888888/224/3221226937/index.m3u8
北京冬奥纪实,http://39.135.225.5:18890/PLTV/88888888/224/3221225944/index.m3u8
湖南金鹰卡通,http://39.135.225.5:18890/PLTV/88888888/224/3221227018/index.m3u8
湖南快乐垂钓,http://39.135.225.5:18890/PLTV/88888888/224/3221226940/index.m3u8
湖南快乐购,http://39.135.225.5:18890/PLTV/88888888/224/3221226855/index.m3u8
北京家有购物,http://39.135.225.5:18890/PLTV/88888888/224/3221225876/index.m3u8
百视通体育1,http://39.135.225.5:18890/PLTV/88888888/224/3221226564/index.m3u8
百事通体育2,http://39.135.225.5:18890/PLTV/88888888/224/3221226599/index.m3u8
百事通体育3,http://39.135.225.5:18890/PLTV/88888888/224/3221226646/index.m3u8
动漫1,http://39.135.225.5:18890/PLTV/88888888/224/3221226732/index.m3u8
动漫2,http://39.135.225.5:18890/PLTV/88888888/224/3221226741/index.m3u8
动漫3,http://39.135.225.5:18890/PLTV/88888888/224/3221226743/index.m3u8
影视1,http://39.135.225.5:18890/PLTV/88888888/224/3221226708/index.m3u8
影视1,http://39.135.225.5:18890/PLTV/88888888/224/3221226708/index.m3u8
影视2,http://39.135.225.5:18890/PLTV/88888888/224/3221226712/index.m3u8
影视2,http://39.135.225.5:18890/PLTV/88888888/224/3221226712/index.m3u8
影视3,http://39.135.225.5:18890/PLTV/88888888/224/3221226631/index.m3u8
影视4,http://39.135.225.5:18890/PLTV/88888888/224/3221226754/index.m3u8
影视5,http://39.135.225.5:18890/PLTV/88888888/224/3221226736/index.m3u8
影视6,http://39.135.225.5:18890/PLTV/88888888/224/3221226692/index.m3u8
中国教育1 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225869/index.m3u8
中国教育4 4M576,http://39.135.225.5:18890/PLTV/88888888/224/3221227050/index.m3u8
CGTN,http://39.135.225.5:18890/PLTV/88888888/224/3221225822/index.m3u8
CGTN纪录,http://39.135.225.5:18890/PLTV/88888888/224/3221225813/index.m3u8
东南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225833/index.m3u8
云南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225853/index.m3u8
云南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226835/index.m3u8
兵团卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226950/index.m3u8
内蒙古卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225846/index.m3u8
内蒙古卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226933/index.m3u8
吉林卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225851/index.m3u8
吉林卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226831/index.m3u8
四川卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225835/index.m3u8
宁夏卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225849/index.m3u8
宁夏卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226843/index.m3u8
山西卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225839/index.m3u8
山西卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226839/index.m3u8
广西卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225836/index.m3u8
广西卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226925/index.m3u8
康巴卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225856/index.m3u8
新疆卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225852/index.m3u8
新疆卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226936/index.m3u8
河北卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225837/index.m3u8
河北卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226885/index.m3u8
河南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225842/index.m3u8
海南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225855/index.m3u8
海南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226929/index.m3u8
甘肃卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225845/index.m3u8
甘肃卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226932/index.m3u8
西藏卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226847/index.m3u8
贵州卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225838/index.m3u8
陕西卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225850/index.m3u8
青海卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225841/index.m3u8
三沙卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221227002/index.m3u8
山东教育卫视,http://39.135.225.5:18890/PLTV/88888888/224/3221225873/index.m3u8
SiTV法治天地 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226143/index.m3u8
SiTV游戏风云 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226142/index.m3u8
上海哈哈炫动,http://39.135.225.5:18890/PLTV/88888888/224/3221225872/index.m3u8
北京卡酷少儿 4M576,http://39.135.225.5:18890/PLTV/88888888/224/3221225871/index.m3u8
江苏优漫卡通,http://39.135.225.5:18890/PLTV/88888888/224/3221225874/index.m3u8
湖南金鹰卡通 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225870/index.m3u8
湖南先锋乒羽 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226851/index.m3u8
湖南茶频道 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226859/index.m3u8
福建教育,http://39.135.225.5:18890/PLTV/88888888/224/3221226948/index.m3u8
江西风尚购物,http://39.135.225.5:18890/PLTV/88888888/224/3221225875/index.m3u8
网课1,http://39.135.225.5:18890/PLTV/88888888/224/3221226568/index.m3u8
网课2,http://39.135.225.5:18890/PLTV/88888888/224/3221226569/index.m3u8
网课3,http://39.135.225.5:18890/PLTV/88888888/224/3221226573/index.m3u8
网课4,http://39.135.225.5:18890/PLTV/88888888/224/3221226638/index.m3u8
网课5,http://39.135.225.5:18890/PLTV/88888888/224/3221226867/index.m3u8
网课6,http://39.135.225.5:18890/PLTV/88888888/224/3221226871/index.m3u8
网课7,http://39.135.225.5:18890/PLTV/88888888/224/3221226875/index.m3u8
网课8,http://39.135.225.5:18890/PLTV/88888888/224/3221226941/index.m3u8
网课9,http://39.135.225.5:18890/PLTV/88888888/224/3221226944/index.m3u8
网课10,http://39.135.225.5:18890/PLTV/88888888/224/3221226945/index.m3u8
网课11,http://39.135.225.5:18890/PLTV/88888888/224/3221226565/index.m3u8
网课12,http://39.135.225.5:18890/PLTV/88888888/224/3221226642/index.m3u8
信号测试 5M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226664/index.m3u8
信号测试 5M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226866/index.m3u8


央视频道,#genre#

CCTV-1蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV-1蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/8380729188125675257/1.m3u8?stbId=005301FF001589101611549359B92C46&channel-id=shvoolive&Contentid=8380729188125675257&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=8380729188125675257&owchid=shvoolive&owsid=9810361579531242552&AuthInfo=2TOfGIahP4HrGWrHbpJXVOhAZZf%2B%2BRvFCOimr7PCGr9K%2B8TGA2jGwhx%2FP%2B9zbDc6lyCFd7nUPkjV5yhX4M591q%2Bjz%2FVPZBSXzMBonFGRPep2MwYhKpmBifYKbDBIkjbE
CCTV-2蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-2蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/9059700522149664924/1.m3u8?stbId=005301FF00158910000000212621A0DD&channel-id=shvoolive&Contentid=9059700522149664924&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=9059700522149664924&owchid=shvoolive&owsid=9176631579531299298&AuthInfo=2TOfGIahP4HrGWrHbpJXVOJq5SVvpOdgyIf7tzyuJqdYhL2umVWk4VA%2BiWro6vS%2FGYbJQ4PkF2oGSeOSrHR8kErWftutbDOGxkGeSWuC8HvRlxrsJs3srD2VEDgCtlA%2B
CCTV-3蓝光,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3蓝光,http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8
CCTV-3蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/7583927553614607925/1.m3u8?stbId=005301FF001589101611549359B9531C&channel-id=shvoolive&Contentid=7583927553614607925&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=7583927553614607925&owchid=shvoolive&owsid=4975061579531175360&AuthInfo=2TOfGIahP4HrGWrHbpJXVMtGfw%2Bi1RmSk6DRVWhSYHpPQhuPB3gB9HD2kYmj6h2ghYJH%2BZemKqNLOjvtazNyyelvyYAlIu0Li8OHrMDUf9T6xYM6NbVkTDG8Dli2hoZV
CCTV-4蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV-4蓝光,http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8
CCTV-4蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=&version=1.0&owaccmark=1000000002000031664&owchid=ystenlive&owsid=4493204828580187354&AuthInfo=zmDeINsczUw%2bXOm6icTIplPJYM0PdJZ7nyJeCqAhmgD4h2W12vkSCe%2bw8qoQi5%2fj1BMuqFcEHMRAJlgQD47XRVqqHN3O4Si9Wv7MjAX%2b8AK0eHLMDmPByGK0oSB43DB7
CCTV-5蓝光,http://223.110.241.130:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV-5蓝光,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV-5蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/8134369599538150431/1.m3u8?stbId=005301FF001589101611549359B91F12&channel-id=shvoolive&Contentid=8134369599538150431&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=8134369599538150431&owchid=shvoolive&owsid=9856681579531396965&AuthInfo=2TOfGIahP4HrGWrHbpJXVHgbCHVZZF5UUv019%2FSsh88KJM1EuxjKGjHOptOCA%2B9qy7SUSUSlFcfpzdjGKbaNwXQPpC5RWUW%2BWPXxlyqlAmmp3eZqD0kAJRbC1HQjeP48
CCTV-5+蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
CCTV-5+蓝光,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-5+蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000020505/1.m3u8?stbId=005301FF001589101611549359B92F26&channel-id=ystenlive&Contentid=1000000001000020505&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000020505&owchid=ystenlive&owsid=3007521579531929012&AuthInfo=2TOfGIahP4HrGWrHbpJXVPo6e%2BHF%2BrVo6xQQtyKDSuqu3lLj0NrV6tPDBIsVEpn3e3h8FJNoRfXgk2fJ%2B8A%2BC9FKxw7DogGmhnFazyXoBZJZPx01aV9Q%2Bs%2B%2FVnd4tZOQ
CCTV-6蓝光,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6蓝光,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-6蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/6705015643145867202/1.m3u8?stbId=005301FF00158910000000212621A501&channel-id=shvoolive&Contentid=6705015643145867202&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=6705015643145867202&owchid=shvoolive&owsid=7641431579531463387&AuthInfo=2TOfGIahP4HrGWrHbpJXVGtyhHJPIcRRegoBYBxkr5gU2nvM3aYRu9pk6g1cfGsxitbm7ri6Y%2BkjLjny72IEdjBnss%2Faslq1wPHTyGHeHFYaAuxUDnXfdynLgAo%2FAhgd
CCTV-7蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV-7蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/9021776916726275968/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=shvoolive&Contentid=9021776916726275968&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=9021776916726275968&owchid=shvoolive&owsid=1117721579531499433&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5ZvwycVHGQkBt0T4Mgr0s8ldsXtd9fDrW5osGZSl1tYFcN4xKXGPanSFGs4GR6kXBOyjKyNYEmAQ7njzvrMpDpEoy
CCTV-8蓝光,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-8蓝光,http://223.110.247.161:6610/cntv/live1/HD-2500k-1080P-cctv8/HD-2500k-1080P-cctv8
CCTV-8蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/6718199708332952607/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=shvoolive&Contentid=6718199708332952607&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=6718199708332952607&owchid=shvoolive&owsid=5415971579531545952&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5ZvwhPD49%2ByoYvwp35mAdL%2Fiv3IhMa6%2BWOwlWxbCOH9ParUjWZpISKyxZZPoQtekRP1dMl%2BCp9T%2BIEdj1ckDKKfLV
CCTV-9蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV-9蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000014583/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=ystenlive&Contentid=1000000001000014583&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000014583&owchid=ystenlive&owsid=7167961579531601678&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5Zvyu3lLj0NrV6tPDBIsVEpn34sImpRHeOmdxmKUDLs1%2BcZ4JMWbvuFdY7IsuWCFdW392C%2BvFQjyH4LwQq4yRWFvT
CCTV-10蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV-10蓝光,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/1.m3u8
CCTV-10蓝光,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/5505774374187257095/1.m3u8?stbId=005301FF001589101611549359B928C9&channel-id=shvoolive&Contentid=5505774374187257095&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=5505774374187257095&owchid=shvoolive&owsid=1848841579531638041&AuthInfo=2TOfGIahP4HrGWrHbpJXVO9dhnpYCD6yZADsu%2BE3e1z0TmJ04Et2oauQoqLXutIbfy6yerDX1KNDnX4OGB2ZvZf3QlZMt7Oj%2B5HhHlpl0nNoTgXky6K2iYWb1eX3xCek
CCTV-11蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV-11蓝光,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8
